habitat_quality,sex,age,territory_size,body_mass,stress_hormone,parasite_load,offspring_count,foraging_time,survived
high,F,5,466,196,4.93,10,7,74.1,1
low,M,4,556,162.8,3.14,6,1,18.2,1
high,F,3,390,185.3,14.31,0,1,13.3,1
medium,M,3,515,174.8,2.84,4,1,23.7,1
medium,M,4,603,194,3.37,7,3,30,1
low,M,4,584,214,19.78,8,7,19.5,1
high,M,3,532,179.2,0.88,16,6,21.9,1
medium,M,1,311,137.5,2.18,4,2,7.7,0
low,M,2,462,160.6,13.73,8,2,29.4,1
high,M,4,405,153.1,1.41,3,5,20.5,1
high,M,5,478,169.4,3.27,16,4,21.7,1
high,F,4,439,171.4,4,0,2,36,1
low,M,4,310,112,3.45,26,2,76.9,0
medium,F,2,495,158.8,4.88,5,1,21.3,1
medium,F,5,358,144.3,0.95,1,1,6.1,1
low,F,5,387,114.5,1.62,11,1,18.1,0
medium,F,3,569,210.9,3.82,11,0,29.8,1
high,F,6,531,198.1,2.78,3,1,13.1,1
high,F,0,415,125.1,1.04,6,2,26,0
low,F,2,560,202.5,3.25,5,3,75.7,1
medium,M,4,565,175.8,2.69,9,3,44,1
low,M,4,507,195.7,1.74,6,3,37.4,1
medium,F,2,653,197,3.77,5,4,8.7,1
high,F,5,541,186.9,10.73,2,7,19.4,1
high,F,3,593,173.2,11.84,4,2,24.4,1
low,F,2,472,157.2,8.6,7,1,32.9,1
high,F,3,430,166.7,2.01,5,1,10.1,1
medium,F,5,653,286.3,2.63,16,6,15.1,1
low,M,3,517,195.2,1.33,1,3,16.7,1
low,F,3,413,120.8,6.12,1,2,2.6,0
medium,M,3,451,176.7,4.68,2,2,7.7,1
high,F,2,342,94.6,3.5,8,2,13.2,0
low,M,3,517,172.5,2.49,0,2,10.5,1
medium,M,4,516,197.7,3.74,4,1,9.4,1
medium,M,4,591,155.9,8.81,15,0,27.3,1
