"habitat_quality","sex","age","territory_size","body_mass","stress_hormone","parasite_load","offspring_count","foraging_time","survived"
"low","M",2.61414434745733,52.1577606345008,175.275437625198,5.08559399489371,4,29,17.7480592148062,1
"low","F",1.42986447701817,31.8529291470312,134.082180258509,18.2711238165463,7,11,20.0653100572514,0
"low","F",4.22694260106598,48.2654866984789,148.371122187532,6.84104807710831,4,5,6.91852688343563,0
"high","F",3.66669439555688,59.53767761272,191.862660663684,2.61066168823314,11,17,15.3723065920646,1
"medium","F",1.84839683695516,57.0378758447782,178.017014352002,4.05503930478009,1,53,27.2689098243026,1
"high","F",2.83921151681062,43.6871504959742,164.404048853036,2.19691273122213,0,26,21.7825800864055,1
"medium","M",2.02708622411417,59.0759176820985,186.477692201245,7.20069429461584,12,20,35.1514970314602,1
"low","F",2.38953834067237,46.0303667426635,208.011852293679,1.21673476730679,6,5,15.5290514962979,0
"medium","M",3.49927687561987,53.8195896545347,169.998027071234,0.883071479817572,9,38,41.2598334302383,0
"high","M",3.8793641391858,59.2853270114265,218.39006956035,1.17811835727008,29,45,42.9436093480611,0
"medium","M",3.92312923936545,53.9057608876817,200.717493792549,4.57172385971512,10,25,13.3884020250556,0
"low","F",3.69313397191101,43.4729745125284,135.323550520554,2.73986522726007,7,9,23.3194159129944,0
"high","M",2.86049967543824,58.1998236681457,179.852571345944,6.98462656646456,18,56,73.0379986174381,0
"high","F",-0.3106787265626,64.7743008578332,195.933376474954,1.56165747701648,17,32,22.3149836823814,0
"low","M",3.53846579911283,40.7080356620737,137.18640844202,5.48504295200012,14,7,25.5677967073316,0
"high","F",3.89248586650451,48.1780566681402,173.757024539837,8.63071949238363,13,11,35.9267452112531,0
"medium","F",3.48946203621341,60.036584716744,217.529524684474,1.38523683552795,2,64,18.0351747015833,1
"low","F",1.8036482534347,41.4800811187129,143.631377294862,2.99281024903416,6,27,17.1040636646042,0
"high","F",3.46273785324767,32.8062419703682,96.3363846751244,8.66619220369307,4,29,21.9070060399244,1
"low","F",3.97170357632625,45.0530096469523,171.178362270704,4.72193973775046,19,14,49.9443119102771,0
"low","F",1.52784103553533,60.6648977745833,190.142692167193,10.4959453642277,12,19,9.18518841739117,0
"medium","M",3.52896494089947,36.3815236725654,135.147752427979,5.21624863937325,11,63,47.6529024588272,0
"high","F",5.4544003526128,47.5169616939924,205.480074434187,3.83082875021776,6,89,46.4702352916674,1
"high","M",1.35065452040841,59.6193007814863,209.25188973721,8.44887973768982,19,21,29.5305957793848,0
"low","F",3.7958051550136,50.4692745427183,188.687883450291,9.48904530346557,0,8,13.8387103585861,0
"high","F",2.65870683301241,55.6691905433501,214.646747820268,15.2189447228103,18,11,6.66482167470835,0
"low","F",1.59474620028356,66.2398016004902,185.389890576342,14.9543100374317,4,8,9.04642058965082,0
"high","F",2.07703918492837,59.0077121145515,179.194792907411,3.59949582584584,0,32,23.1487403219369,1
"medium","M",3.00989812955887,55.9119065147262,189.433449841919,3.30853299445204,6,11,21.557493857561,0
"low","M",2.59114022630091,54.9098640818382,203.086322251418,14.8636339831738,4,27,30.288336366084,1
"medium","F",1.61175471120026,38.4158339636341,127.580144046577,7.8407495179761,4,15,29.9389019008143,1
"low","F",2.73540476152054,58.3919689343988,209.241936727475,3.97933795547454,7,35,64.9590414680026,0
"low","F",2.05270172101667,55.4210662187202,167.119816060579,5.77744231818866,1,41,10.9611261275795,1
"high","M",3.73952132796161,54.0362073427232,198.680233018161,4.69524036493009,8,25,16.0684706801079,1
"low","M",3.89677870856719,50.5720034377495,188.458889171378,7.73968122273682,9,8,61.1888275987483,0
"medium","M",2.65399911288916,37.2895211689885,148.711068102501,5.72256765234215,8,10,30.3242695042582,0
"low","F",1.21794293153142,51.5359375197673,199.073074605415,4.87757343899424,1,135,27.4157839372594,1
"low","M",3.4649417530758,62.5495609521765,199.207427396137,7.93986416215151,3,56,53.0813411609026,1
"high","F",1.04896939025287,43.8828704015203,154.84150911583,2.5042041319294,6,22,36.6354806394422,0
"low","F",2.48388665953696,31.9915075252325,119.066237143463,2.39141054171849,2,31,8.30904298572639,1
"medium","F",3.48908031752996,68.3802787018593,221.173342477534,5.10587047156165,5,33,40.7702674583129,1
"low","F",3.9020247262176,44.3572206321372,171.673598861572,2.48312773149863,15,50,10.6335685246987,0
"high","F",3.64036299484778,61.4035660065238,207.388580684289,2.36561350991651,13,34,29.5773340726271,0
"low","M",3.95120887894604,56.2405347047281,180.746382883112,3.01199228662384,4,28,12.4343144335077,0
"high","M",2.40087679006641,66.5773610024556,221.170157473444,3.08763561163028,23,61,38.638894411875,0
"medium","M",1.66930500718824,49.5790941545269,154.529586460647,3.84537026409074,12,20,48.7143419381942,0
"high","F",2.40779025412901,46.9955547182701,215.85924714502,6.3184841460174,5,83,3.63243994297224,1
"medium","F",4.80105085590894,67.322579791517,192.512994421243,2.57298592091779,3,51,27.3987963460731,0
"medium","M",4.05533859104363,71.5652982339948,221.197688519637,5.74767724437278,6,69,34.1499303228174,0
"high","M",2.70807924308265,53.1851888035125,157.757343963441,3.16059181682526,1,44,21.2756097295616,0
"medium","F",2.17589062380489,51.6984704552344,182.571227831155,2.68884310363959,0,46,20.8489350885996,1
"medium","M",4.21625023852094,57.4234949829106,170.329348058872,5.24302213220337,11,10,75.5043124627528,0
"high","F",3.21972840450965,43.2746330959047,151.084910428465,1.81813942099195,14,33,105.36892864905,0
"high","F",3.07499952694127,54.9782615238744,167.757134236839,0.600550159188907,17,19,24.8777564289937,0
"low","M",0.859581516150086,40.1038799785929,145.101122677098,2.7837825026453,6,31,25.182521202333,0
"medium","F",4.47097223651645,47.025203855877,182.455095151896,10.372491148989,5,17,21.2163267230622,0
"medium","F",2.16223239380772,57.9488353383167,224.591222429999,4.36125898880784,2,33,23.4713476880797,0
"low","F",3.39550986785137,42.3704658982464,152.786681100317,6.41644796177607,15,45,20.4400905183404,0
"medium","M",3.88642167665807,58.5086062363144,174.366378655504,4.69462169328515,4,3,23.4994426844351,1
"low","F",4.20104255177858,55.0217905968609,176.748292888538,5.95868764899039,2,20,7.55967174973746,1
"low","M",4.31680568129345,64.3374253551606,198.6132869368,2.86349448314031,9,40,45.1765789704737,1
"medium","F",2.8069595818342,71.6566298935473,243.934211169462,3.30817283325833,3,103,15.8779519819283,1
"high","M",3.55057624931952,44.2462424242946,183.049824229287,2.93087432697155,4,22,8.70939737686177,1
"high","M",0.911227056224122,53.9063883260337,189.568349904479,4.22634160888599,1,34,21.2167318402423,1
"low","M",2.97509020647317,65.5866378109588,208.065528302439,1.73161776528237,8,14,29.7835290119141,0
"medium","M",3.88845765140044,51.9904542772655,184.799972210528,5.69897245888032,3,21,12.1058985273978,1
"low","F",2.66256884866632,43.4618699868032,147.168365901185,12.4183361610377,7,39,18.6375368187647,1
"medium","F",1.96928894534334,40.0242919458476,140.222182681531,3.92014837095837,8,31,16.927726973497,0
"low","F",3.43083317223156,64.004443032093,230.999213810931,3.36457672917682,17,11,66.3187908993,0
"high","M",3.20890740181954,75.9949170568404,289.238611002135,2.19600991223879,8,74,12.4677364596705,1
"high","F",1.45175974293125,39.5269971698909,138.70479212715,2.11105898880868,1,78,9.4726263221835,1
"medium","F",1.82619778152632,51.105373040221,165.255423492597,5.38408820777354,0,104,13.916788925947,1
"high","M",4.17881520434786,34.3193085438565,141.666915568102,0.977917595303672,2,44,19.3633283523783,1
"low","F",2.5806905577597,50.6967120631415,169.019748990402,5.27807384839455,3,84,24.8324842103961,1
"medium","F",1.14742470031812,46.9282013524768,138.929422669063,3.40529539442925,2,16,47.0318939782345,0
"medium","M",3.48592647351686,49.8794671374628,147.920355077897,2.10892669176202,19,6,47.7659694693044,1
"high","F",2.52808740671972,78.9485439080467,239.605151219235,3.89149511147578,5,21,11.4805564110336,1
"medium","M",3.84673859104871,36.0131952154033,154.187880560042,3.1371389901483,1,84,27.3356164639164,0
"low","M",3.92577059203111,54.3211340170645,190.338860384804,16.4319138441334,7,26,41.0425364698602,1
"high","M",2.67916941906014,68.3265771671135,227.482804098481,5.10770722696199,7,52,7.98800490704247,1
"high","F",1.69902636635314,43.8897745658413,176.713035902453,2.03525281792153,11,12,11.9744641873771,1
"high","F",5.45956801032152,41.8065728683981,150.853908406643,13.1072933478132,2,55,21.8273784325976,0
"medium","F",3.77836500375684,50.4830946044581,198.253887229171,4.22251281783837,6,43,56.6794425064748,0
"medium","F",3.68988091261288,63.0055136995643,205.362790170322,2.93914567879945,2,27,8.34895042917384,1
"high","M",1.29553445119425,46.5687515959501,160.843635696616,1.00924231468769,11,18,23.6442403776208,0
"low","F",4.10537213468354,39.7420872922166,174.849457715125,3.02490876781684,18,39,36.2770801004247,0
"low","F",2.68614718531409,50.7054854179256,141.90239484134,1.47007342003107,3,47,14.7380452581715,1
"high","F",2.65330725452128,29.8218073188926,121.557214565375,2.05547015114863,14,47,47.6666093657282,0
"medium","F",4.0384404772982,35.245448790129,128.487862041744,5.95264040544648,0,31,4.88391960250534,0
"medium","M",2.48843514603881,60.8646279809096,209.611361988403,3.35524521251091,3,53,14.2288658145918,0
"medium","M",4.01452824968828,54.5881557444238,202.843786169915,1.47032643397628,10,52,25.8125898611091,0
"medium","F",3.61169937767339,28.2600357003603,123.608235878492,1.98801394068977,7,4,47.6885952597852,1
"medium","M",2.22774998665953,56.1761625722293,193.059830182763,2.62854435871528,7,22,11.5105781636595,1
"medium","F",3.68091558238706,26.9520464755108,130.065442666518,3.62954207061282,3,47,10.7707555437117,1
"high","F",2.79241652235435,45.5303128815489,151.685605842809,0.400047245629347,15,18,19.9632868278399,0
"medium","F",3.83742650727931,52.9949067695872,188.284426630652,5.7987097737695,23,24,61.7926681887911,0
"low","M",2.70812628407127,35.7152541327542,119.266063313739,2.99956218973867,0,10,28.0343213462241,1
"medium","F",3.3206010802253,62.6749748403291,182.016232380559,8.3973367423073,3,43,15.2681028786788,0
"medium","F",1.63022423913735,62.1450578994531,209.615074274149,5.22081463652701,4,26,27.3484408706946,0
"medium","F",3.29122965826018,43.2514406895723,167.076594044969,3.26791007439821,6,16,36.4330284302495,0
"high","M",4.38554546858176,61.2102190988245,210.126405181084,12.4443488883695,6,62,8.20317333022495,1
"medium","F",3.16904523565274,51.9654977656002,155.139356414315,3.14752313708915,8,33,55.5363746290882,0
"high","F",4.06892128417523,56.5011318866726,187.808835543996,2.25647391395775,7,35,37.1433006768562,1
"medium","M",1.41411084078794,56.7100418790199,195.189410829709,2.30168572544762,16,12,24.5810865734155,0
"high","F",2.61614990802625,37.1584223486777,155.150921146565,8.27949276865552,11,21,25.3620394711728,0
"low","F",3.86483441761273,29.7389041721047,86.5383454217635,3.14735938125127,9,1,36.4704962194156,0
"high","F",3.56125034109427,72.0532606437083,274.05916479366,1.61635115469268,0,107,15.2827378009891,1
"high","M",1.56016294109639,52.3138992991117,155.637007633052,2.60372442724074,4,47,31.15131196169,1
"high","M",1.99383385328769,53.7564226018481,173.726373725403,0.64933593659766,3,65,22.0171254390451,1
"low","F",2.05964497344589,38.070314817019,131.975125139024,13.3377128128682,10,13,28.7617948431993,0
"high","F",3.05345133215378,61.3254984181008,219.743639637062,3.84614024140367,15,41,20.1227841553642,0
"high","F",2.42605450435831,68.3947679495165,232.823700587541,4.76920186632142,9,66,44.837884253574,0
"medium","M",3.22054883007557,65.278701045484,169.419408118793,0.392614587267294,5,72,18.4962548393947,0
"medium","F",2.16548426551168,29.7637297724224,123.703000109779,5.87726729586392,15,9,58.9582792713718,0
"medium","M",2.86964583773799,39.5949200136671,138.83614981212,1.21044990742344,2,12,5.59428596589202,1
"high","F",3.56732944178593,50.9779160179052,172.752903350541,3.14664369374261,9,11,28.1309240389778,0
"high","M",4.20846682002392,56.9684079938569,202.269074092288,4.26535931056804,4,14,3.93516045913997,1
"high","F",3.12721964840282,44.561114833899,194.961444637471,3.84708377030744,12,69,5.58921678185491,0
"medium","F",2.04859045680888,41.4145069805598,163.023648030315,15.0641093645129,9,28,6.67645032004364,1
"low","F",2.33748556100168,52.2978593633584,172.845264753047,15.2697867065203,1,33,26.7951135670963,1
"medium","M",3.34459485438878,40.5735684839247,141.930908087089,1.29559358413594,7,11,33.5314161129737,0
"low","M",1.9201457791378,70.4350430210435,232.095980813158,14.6422604905784,44,64,187.274791596713,0
"high","F",3.20965260420947,31.7450460010016,96.3820137853565,2.71476359442626,2,3,17.8339400803876,0
"high","F",1.69708043483642,55.0879220740011,192.400354313722,4.26855824372102,4,39,20.1981087358859,1
"medium","M",2.63018876452994,30.0367279326984,101.754383065821,10.1004576679245,6,14,39.2576825320305,0
"low","F",2.35706293683078,45.0567708281208,150.220453683231,4.57531615498452,2,27,15.9379524740544,1
"high","F",4.09116353925724,64.8433728415762,230.547272211244,1.42455510126102,24,34,122.249389658747,0
"low","M",3.33659495161082,61.2176857432144,207.304309444762,3.31325529050878,9,17,6.77135343086021,0
"high","F",2.68516769243661,36.0013935190008,124.105274823463,13.6391986789117,3,20,11.1756159075958,0
"medium","M",2.82092801975758,35.2390196370545,142.869938707076,1.43994953647306,2,17,6.93774003986235,1
"medium","M",3.05226782758248,50.5810583974077,185.00996640164,1.96119446144086,9,26,74.5169223027392,0
"low","M",3.61088135141235,40.4702336125374,150.742643989264,2.72286883591927,30,50,41.9614637289716,0
"high","M",2.70620325754553,54.0577011482866,210.041981618172,0.517095358087978,42,56,101.554615864002,0
"medium","M",0.320283798559913,40.160615161048,132.814632059479,2.94915747053473,2,18,20.3090067483561,1
"low","M",1.76215557560411,33.8987698403011,92.4693670004537,15.2400653008599,4,5,18.3529024530373,0
"high","M",3.57656861206214,45.6983123210317,174.061492107125,1.30131241167756,6,4,29.6892924819725,1
"high","M",4.13589058889151,37.7578936720328,168.676927045437,8.05873824434419,7,30,7.83323122149577,0
"high","F",3.69414178644642,60.866419673221,218.02358230159,3.6232521032154,4,20,21.4141385386717,0
"low","M",3.28657116737034,46.6519441961886,155.685074892941,0.665861229451673,5,16,30.853873484198,0
"medium","F",1.0019326867327,49.6215929609995,189.981033442369,3.54011162416351,2,47,18.0751207479169,1
"medium","F",4.149778239249,63.8059132989247,189.177444146374,2.44574314317771,5,49,15.7782459656216,1
"low","F",4.43586054759254,68.5782124241692,243.412802217253,8.82555821294922,22,61,95.7498516793166,0
"medium","F",2.52055992523906,49.4704978218748,180.763258041333,5.72031825753247,0,10,28.9368340941754,1
"high","F",5.28910633778024,53.3333620077998,177.092656850842,6.09816585638605,21,17,40.2178781254101,0
"high","F",-0.0377821476418743,63.0909768203641,219.465790511341,1.63469450292192,3,36,42.4585610644421,1
"low","F",1.95647405265222,48.2553775515335,158.866471114264,10.1762244210044,7,48,25.9066414790046,0
"medium","M",3.24650280454309,39.5637413489279,167.784460971202,4.81368442994214,4,39,26.1759113961246,0
"low","M",3.07006490229313,59.9420036616155,215.513396425421,4.19454932303549,18,47,79.0863512545942,0
"medium","F",1.51621209224796,34.7536546037017,134.396911710979,1.30799487202342,2,18,25.6659978130184,0
"high","F",4.63172709048056,47.5474687085019,221.356709982794,4.81235148256836,9,32,66.7398174329308,0
"high","F",2.32364167410966,45.9784492217654,178.617009298127,9.09772443256909,2,36,22.5970244450483,1
"low","F",1.53624212036211,44.772556636323,150.305599155034,9.4178170919777,5,8,42.1300961074371,1
"high","F",2.97452251652545,22.4639124585093,93.5728997680186,1.06956835284168,6,18,38.5107048239375,0
"medium","F",4.2179135124455,44.1309975779267,166.344123634899,1.13969653192039,3,29,22.2102822452676,1
"low","M",2.1716770404711,62.6631293072596,208.432274821606,3.11450258908882,13,52,19.8054887838884,0
"low","F",2.28187427968109,45.3112934496672,136.864315566596,7.99153419247646,14,29,55.4291577372584,0
"medium","M",2.95551251626098,43.8095681479206,172.058768226422,2.60641429536519,6,5,5.16187590488793,0
"high","F",1.93815185500181,43.3386051726153,162.870014622245,9.37524434340092,0,50,20.0822058853094,1
"low","M",2.77832414248507,41.2526070629912,152.77463237869,8.36915763306842,12,8,8.55194150561513,0
"medium","M",3.39459154753128,51.46021703841,176.813992161193,0.812214712757053,3,31,35.8791138324013,1
"medium","M",3.88942683425215,55.9278070808763,163.468530246673,1.18596272662997,3,15,31.1355773306813,1
