"treatment","sex","cortisol_ng_ml"
"Heat stress","F",31.88
"Diet restriction","F",31.57
"Control","M",4.13
"Heat stress","M",24.05
"Diet restriction","M",22.23
"Control","F",7.89
"Heat stress","F",19.82
"Diet restriction","F",33.45
"Control","M",4.48
"Heat stress","M",11.76
"Diet restriction","M",28.58
"Control","F",7.89
"Heat stress","F",22.86
"Diet restriction","F",23.02
"Control","M",4.13
"Heat stress","M",14.45
"Diet restriction","M",25.87
"Control","F",7.88
"Heat stress","F",11.48
"Diet restriction","F",46.26
"Control","M",4.53
"Heat stress","M",12.96
"Diet restriction","M",31.08
"Control","F",7.79
"Heat stress","F",20.18
"Diet restriction","F",43.25
"Control","M",5.78
"Heat stress","M",15.8
"Diet restriction","M",28.22
"Control","F",5.57
"Heat stress","F",14.27
"Diet restriction","F",56.79
"Control","M",6.5
"Heat stress","M",8.92
"Diet restriction","M",12.62
"Control","F",8.27
"Heat stress","F",11.74
"Diet restriction","F",36.49
"Control","M",3.48
"Heat stress","M",11.25
"Diet restriction","M",22.69
"Control","F",6.5
"Heat stress","F",20.75
"Diet restriction","F",24.95
"Control","M",5.43
"Heat stress","M",11.36
"Diet restriction","M",22.12
"Control","F",7.42
"Heat stress","F",12.02
"Diet restriction","F",56.42
"Control","M",10.13
"Heat stress","M",10.6
"Diet restriction","M",27.48
"Control","F",7.54
"Heat stress","F",26.32
"Diet restriction","F",35.8
"Control","M",4.21
"Heat stress","M",10.11
"Diet restriction","M",31.58
"Control","F",14.77
"Heat stress","F",21.82
"Diet restriction","F",40.23
"Control","M",8.36
"Heat stress","M",13.35
"Diet restriction","M",30.93
"Control","F",6.63
"Heat stress","F",16.66
"Diet restriction","F",30.15
"Control","M",4.84
"Heat stress","M",17.16
"Diet restriction","M",11.8
"Control","F",6.07
"Heat stress","F",12.19
"Diet restriction","F",16.34
"Control","M",9.14
"Heat stress","M",6.34
"Diet restriction","M",29.27
"Control","F",8.3
"Heat stress","F",9.84
"Diet restriction","F",43.72
"Control","M",6.03
"Heat stress","M",11.41
"Diet restriction","M",15.94
"Control","F",5.98
"Heat stress","F",17.03
"Diet restriction","F",29.59
"Control","M",7.58
"Heat stress","M",27.37
"Diet restriction","M",12.9
"Control","F",4.9
"Heat stress","F",25.56
"Diet restriction","F",25.94
"Control","M",3.84
"Heat stress","M",10.68
"Diet restriction","M",25.33
"Control","F",7.92
"Heat stress","F",31.83
"Diet restriction","F",16.04
"Control","M",3.43
"Heat stress","M",15.91
"Diet restriction","M",10.22
"Control","F",8.23
"Heat stress","F",14.34
"Diet restriction","F",25.75
"Control","M",7.21
"Heat stress","M",19.02
"Diet restriction","M",27.77
"Control","F",6.36
"Heat stress","F",30.36
"Diet restriction","F",37.89
"Control","M",5.32
"Heat stress","M",8.68
"Diet restriction","M",20.7
"Control","F",6.27
"Heat stress","F",13.09
"Diet restriction","F",60.36
"Control","M",3.28
"Heat stress","M",9.53
"Diet restriction","M",16.42
"Control","F",6.76
"Heat stress","F",25.85
"Diet restriction","F",34.58
"Control","M",8.03
"Heat stress","M",24.77
"Diet restriction","M",20.47
"Control","F",6.01
"Heat stress","F",28.66
"Diet restriction","F",27.29
"Control","M",3.62
"Heat stress","M",12.29
"Diet restriction","M",26.09
