"animal","temp","response_time","trials"
"CX9",17.4,24.25,1
"CX9",15.5,23.55,1
"CX9",14.6,23.94,4
"CX9",21.2,22.34,1
"CX9",18.5,23.07,1
"CX9",14.8,24.68,1
"CX9",16,24.76,1
"CX9",14.9,24.52,3
"CX9",21.7,22.45,1
"CX9",19.9,22.83,1
"CX9",16.7,23.87,1
"CX9",18.3,23.24,1
"CX9",16.4,24.54,1
"CX10",17.3,23.45,2
"CX10",16.6,23.63,1
"CX10",17,24.58,1
"CX10",21.5,22.34,1
"CX10",18.1,23.81,1
"CX10",18.5,24.11,1
"CX10",18.7,24.02,1
"CX10",20.7,22.58,1
"CX10",17.2,23.93,1
"CX10",16.2,24.56,2
"CX10",21.6,23.09,1
"CX10",17.3,24.35,1
"CX10",16.8,25.22,1
"CX10",15.7,24.7,3
"CX10",15.6,25.47,5
"CX10",17.1,24.75,1
"CX10",19.5,23.63,1
"CX10",20.4,23.11,1
"CX10",19.6,22.98,1
"CX10",17.5,23.94,1
"CX11",25,25.32,1
"CX11",23.5,25.57,1
"CX11",23.5,26.16,2
"CX11",26.7,24.69,1
"CX11",22.9,25.65,2
"CX11",28.8,23.92,1
"CX11",24.7,25.15,1
"CX11",25.3,25.05,1
"CX11",23.4,24.06,2
"CX11",23.7,24.59,2
"CX11",22.3,25.8,3
"CX11",24.5,25.11,2
"CX11",25.7,24.21,1
"CX11",25.5,23.75,1
"CX11",23.3,25.35,3
"CX11",23.3,26.01,3
"CX11",23.9,26.59,1
"CX11",27.9,24.44,1
"CX11",22.6,26.72,4
"CX11",24.5,25.34,1
"CX12",25.2,16.63,1
"CX12",21.2,19.11,1
"CX12",18.7,19.81,1
"CX12",20.1,19.53,1
"CX12",22.4,18.8,1
"CX12",20.7,18.74,1
"CX12",20.3,19.23,1
"CX12",20.8,18.44,1
"CX12",21.6,18.91,1
"CX12",24.6,17.19,1
"CX12",21.3,19.31,1
"CX12",23.6,16.73,1
"CX12",22.7,18.11,1
"CX12",21.2,18.3,1
"CX12",18.4,20.58,1
"CX12",20.4,20.26,1
"CX12",20.5,19.03,1
"CX12",21.5,19.19,1
"CX12",24,16.77,1
"CX12",26,15.79,1
"CX13",24.7,24.23,1
"CX13",21.3,24.53,1
"CX13",18.1,24.86,26
"CX13",20.8,25.94,2
"CX13",21.8,25.07,1
"CX13",23.3,23.99,1
"CX13",23.5,23.01,1
"CX13",23,25.7,1
"CX13",18.8,27.94,19
"CX13",23.3,24.5,2
"CX13",20.7,25.71,2
"CX13",22,25.57,1
"CX13",21.8,24.39,2
"CX13",22.5,24.4,1
"CX13",21.7,23.75,1
"CX13",18.3,25.43,26
"CX13",23.1,24.84,1
"CX13",22.4,24.46,1
"CX13",21.1,24.91,2
"CX13",21.8,24.74,1
"CX14",20.7,23.14,1
"CX14",20.9,24.84,1
"CX14",23.7,22.45,1
"CX14",20,24.44,1
"CX14",20.8,24.04,2
"CX14",22.8,23.55,1
"CX14",22.6,24.71,1
"CX14",22.7,23.33,1
"CX14",19.3,24.29,2
"CX14",24.4,22.18,1
"CX14",20.6,23.87,1
"CX14",24.2,22.49,1
"CX14",17.7,25.56,10
"CX14",20.5,23.86,1
"CX14",22.9,23.84,1
"CX14",19,24.79,1
"CX14",18.9,23.98,1
"CX14",18.6,24.52,6
"CX14",18.3,25.68,1
"CX14",19.6,25.3,3
"CX15",18.4,23.24,1
"CX15",13.7,24.35,2
"CX15",18.2,21.1,1
"CX15",20.2,20.52,1
"CX15",21.9,20.46,1
"CX15",20.4,22.18,1
"CX15",19.3,21.58,1
"CX15",14.3,24.79,4
"CX15",16.6,23.4,1
"CX15",17.1,21.89,1
"CX15",19.2,21.45,1
"CX15",17.6,23.24,1
"CX15",15.3,24.14,1
"CX15",21.1,20.86,1
"CX15",19.6,21.66,1
"CX15",18.3,21.72,1
"CX15",20.2,20.18,1
"CX15",15.1,24.49,1
"CX15",19.1,20.69,1
"CX15",16.7,22.21,1
"CX16",28.5,14.01,1
"CX16",27,13.75,1
"CX16",28.4,13.31,1
"CX16",29.8,12,1
"CX16",27.2,14.88,1
"CX16",29.2,13.47,1
"CX16",24.8,16.29,1
"CX16",25.7,15.7,1
"CX16",30.2,12.89,1
"CX16",27.9,14.42,1
"CX16",23,15.86,1
"CX16",24.4,16.15,1
"CX16",26.7,14.82,1
"CX16",28.9,13.84,1
"CX16",26.9,13.85,1
"CX16",28.4,13.36,1
"CX16",29.1,12.56,1
"CX16",30.5,13.02,1
"CX16",27.3,15.24,1
"CX16",27,15.07,1
"CX17",18.5,18.66,1
"CX17",22.2,17.29,1
"CX17",20.8,18.63,1
"CX17",20,18.52,1
"CX17",21.6,17,1
"CX17",24,15.08,1
"CX17",18,19.33,1
"CX17",21.1,18.15,1
"CX17",22.2,16.69,1
"CX17",20.2,18.46,1
"CX17",22.7,17.52,1
"CX17",22.8,16.95,1
"CX17",21.9,18.05,1
"CX17",17.1,19.29,1
"CX17",27.1,13.54,1
"CX17",21.6,17.44,1
"CX17",23.3,16.64,1
"CX17",22.5,16,1
"CX17",24,16.29,1
"CX17",23.6,16.24,1
"CX18",11.7,24.04,4
"CX18",12.9,23.71,1
"CX18",10.2,24.4,26
"CX18",13.8,23.59,1
"CX18",11.2,24.49,6
"CX18",17,21.6,1
"CX18",8.8,25.73,26
"CX18",11.2,24.26,2
"CX18",13.8,23.45,1
"CX18",13.2,22.89,1
"CX18",11,25.2,3
"CX18",10.1,24.51,26
"CX18",12.4,24.12,1
"CX18",12.1,23.64,1
"CX18",8.6,24.99,26
"CX18",12.2,24.17,2
"CX18",12.5,22.51,1
"CX18",12.5,23.86,1
"CX18",10,24.82,26
"CX18",13.1,21.55,2
"CX19",25.6,18.86,1
"CX19",23.7,18.14,1
"CX19",20.5,21.56,1
"CX19",21.9,20.14,1
"CX19",23.5,19.2,1
"CX19",21.5,20.64,1
"CX19",18.5,23.03,1
"CX19",24.6,18.71,1
"CX19",21.1,21.18,1
"CX19",21.7,20.79,1
"CX19",25.8,17.74,1
"CX19",21.3,19.64,1
"CX19",24.5,17.86,1
"CX19",20.3,21.61,1
"CX19",22.1,20.33,1
"CX19",22.7,21.27,1
"CX19",20.5,21.53,1
"CX19",21.5,21.18,1
"CX19",22.7,20.89,1
"CX19",24.1,19,1
"CX20",14.8,28,26
"CX20",17.4,27.72,26
"CX20",19.6,27.6,26
"CX20",17,27.72,26
"CX20",18.6,27.2,26
"CX20",19.1,26.26,26
"CX20",18.6,27.38,26
"CX20",19.4,27.08,26
"CX20",17.9,27.48,26
"CX20",17.3,27.45,26
"CX20",12.8,27.93,26
"CX20",17.9,27,26
"CX20",19,27.29,26
"CX20",19.2,26.92,26
"CX20",17,26.7,26
"CX20",21.7,26.12,26
"CX20",18.7,26.05,26
"CX20",18.4,26.34,26
"CX20",20.7,26.42,26
"CX20",16.7,26.13,26
"CX21",14.8,22,1
"CX21",20.5,21.54,1
"CX21",15.8,22.35,2
"CX21",19,20.23,1
"CX21",12.9,23.81,2
"CX21",15.3,23.75,1
"CX21",16.5,22.86,1
"CX21",16.3,22.78,1
"CX21",13.7,24.31,1
"CX21",15.8,22.22,1
"CX21",13.6,24.07,2
"CX21",17.2,21.79,1
"CX21",17.9,21.87,1
"CX21",11.3,25.95,21
"CX21",18.2,22.38,1
"CX21",13.2,24.23,1
"CX21",16.6,21.66,1
"CX21",17,21.7,1
"CX21",15.3,24.38,1
"CX21",14.4,22.54,1
"CX22",19.5,19.22,1
"CX22",20,19.36,1
"CX22",20.9,18.95,1
"CX22",15,22.21,1
"CX22",15.9,20.94,1
"CX22",22,17.16,1
"CX22",21.2,17.92,1
"CX22",20,18.2,1
"CX22",20.6,18.88,1
"CX22",21,18.98,1
"CX22",13.8,23.55,1
"CX22",21.3,18.28,1
"CX22",18.2,19.22,1
"CX22",19.6,19.67,1
"CX22",18.5,20.17,1
"CX22",20.9,18.15,1
"CX22",18.4,18.63,1
"CX22",20.2,19.19,1
"CX22",18.3,20.42,1
"CX22",16.9,20.26,1
"CX23",18.3,17.8,1
"CX23",17.4,17.89,1
"CX23",19.3,17.23,1
"CX23",16,18.87,1
"CX23",18.1,17.34,1
"CX23",19.8,16.53,1
"CX23",15.3,19.22,1
"CX23",13.3,20.38,1
"CX23",15.4,19.14,1
"CX23",15.5,19.31,1
"CX23",16.2,18.97,1
"CX23",19.3,17.79,1
"CX23",15.2,18.58,1
"CX23",16.6,18.42,1
"CX23",15.4,19.74,1
"CX23",15.9,20.15,1
"CX23",16.5,18.9,1
"CX23",18.6,17.29,1
"CX23",16.1,18.68,1
"CX23",17.3,18.37,1
"CX24",18.6,20.99,1
"CX24",18.9,20.07,1
"CX24",15.9,22.02,1
"CX24",20.3,19.5,1
"CX24",16.3,22.17,1
"CX24",16.9,22.09,1
"CX24",19.9,19.8,1
"CX24",19.7,19.7,1
"CX24",14.9,23.42,1
"CX24",15.3,22.37,1
"CX24",14.4,23.85,1
"CX24",17.4,21,1
"CX24",17.4,21.46,1
"CX24",17.8,19.83,1
"CX24",18.2,20.54,1
"CX24",15.9,21.93,1
"CX24",15.1,21.91,1
"CX24",19.1,19.39,1
"CX24",18.6,20.99,1
"CX24",14.1,23.59,1
"CX25",17.3,21.88,1
"CX25",15.7,23.69,1
"CX25",13.4,23.7,5
"CX25",17.8,21.83,1
"CX25",17.3,23.05,1
"CX25",17.3,22.28,1
"CX25",17.9,23.1,1
"CX25",19.3,21.91,1
"CX25",17.9,22.81,1
"CX25",16.3,22.83,1
"CX25",16,22.53,1
"CX25",17.2,23.35,1
"CX25",18.1,22.53,1
"CX25",15.4,23.38,2
"CX25",17.1,22.84,1
"CX25",19.4,22.67,1
"CX25",17.3,22.28,1
"CX25",16.1,22.76,1
"CX25",16.9,22.48,1
"CX25",19.7,20.65,1
