"species","habitat","region","body_size_mm","dispersal_distance_m"
"cicindela_patruela","Forest","C",4.47436853689395,7.81445796330602
"melanoplus_femurrubrum","Wetland","I",6.35365163156053,5.62569344211186
"melanoplus_femurrubrum","Grassland","S",8.10562950711496,28.406853936819
"limenitis_arthemis","Forest","I",4.15681783618516,8.02976731826936
"limenitis_arthemis","Forest","S",4.25841707997748,13.5805394380858
"limenitis_arthemis","Wetland","N",5.05078839241028,20.4820478715393
"melanoplus_femurrubrum","Grassland","I",6.77349768564149,14.1656124475752
"melanoplus_femurrubrum","Grassland","S",10.0716599792089,38.1095470858502
"anax_walsinghami","Forest","I",8.42708234901867,9.60841752562223
"limenitis_arthemis","Grassland","I",6.96289390508388,11.7842148128456
"anax_walsinghami","Wetland","I",8.88041484384174,18.9654956524113
"limenitis_arthemis","Grassland","I",5.60517750878657,11.5032453705795
"melanoplus_femurrubrum","Grassland","S",10.3869407209585,39.9620832966552
"limenitis_arthemis","Wetland","N",5.08284784020422,12.2083746899395
"melanoplus_femurrubrum","Forest","I",6.97890215739681,13.8400614335857
"cicindela_patruela","Forest","S",5.54581162029763,11.5203653457923
"limenitis_arthemis","Wetland","N",7.63720848508292,18.8189827896532
"cicindela_patruela","Forest","S",9.04135127507979,21.8893522408647
"anax_walsinghami","Grassland","C",10.2620603305716,38.0874896736727
"anax_walsinghami","Wetland","S",12.7507907608906,34.5638043228661
"melanoplus_femurrubrum","Forest","N",8.94213399084417,20.5353054229732
"melanoplus_femurrubrum","Grassland","N",6.32085108121488,15.9958131517982
"melanoplus_femurrubrum","Wetland","S",7.54123491249573,28.1993276437869
"melanoplus_femurrubrum","Wetland","I",10.4230508131245,20.8815632382257
"melanoplus_femurrubrum","Forest","I",5.00122835599433,5.60426112267616
"limenitis_arthemis","Grassland","C",7.25138630556917,28.9911661984351
"cicindela_patruela","Wetland","S",5.81710328659937,16.0099820869806
"melanoplus_femurrubrum","Forest","N",9.20223109687157,19.4386189564456
"anax_walsinghami","Forest","C",10.8866976384168,34.322731294116
"melanoplus_femurrubrum","Grassland","S",7.9666442062061,25.8785099006277
"cicindela_patruela","Grassland","I",8.78637985997169,20.1103890347202
"melanoplus_femurrubrum","Forest","I",5.04615491325941,8.18464154956141
"melanoplus_femurrubrum","Wetland","S",9.27830973535271,33.9195421695065
"melanoplus_femurrubrum","Grassland","C",4.97844201171371,15.3821918786441
"limenitis_arthemis","Forest","C",7.74408297202527,23.4579474844297
"anax_walsinghami","Wetland","S",9.22955259107448,32.6942193618313
"anax_walsinghami","Wetland","N",11.4938879817679,38.5784283176032
"anax_walsinghami","Wetland","I",9.2045975067693,19.0695511233124
"cicindela_patruela","Forest","S",4.08705654933435,11.1526586611791
"limenitis_arthemis","Grassland","I",4.04727657374996,9.29817600336744
"anax_walsinghami","Forest","I",10.3319742302274,22.5930554412976
"melanoplus_femurrubrum","Grassland","I",7.25474581926481,17.8535036796379
"anax_walsinghami","Forest","N",7.82438705407468,21.5115267781772
"anax_walsinghami","Grassland","C",8.34976074397926,38.7014204868309
"limenitis_arthemis","Grassland","C",5.65277306787466,21.8128656837411
"limenitis_arthemis","Wetland","C",6.42800925057031,17.7953920436204
"anax_walsinghami","Forest","I",7.15043884860758,14.235065051587
"cicindela_patruela","Wetland","N",3.68491563101579,10.53182632974
"cicindela_patruela","Grassland","N",5.72647437443953,19.829415970937
"anax_walsinghami","Forest","S",11.7202599901838,29.4336792047181
"limenitis_arthemis","Wetland","S",10.6902529982846,28.8335820189309
"anax_walsinghami","Grassland","S",9.03089565390584,40.7134609376258
"limenitis_arthemis","Forest","N",6.55240734900802,24.1878730251764
"limenitis_arthemis","Wetland","S",8.50577692013366,22.3975530043687
"melanoplus_femurrubrum","Wetland","N",7.4886815510457,18.4678477657464
"anax_walsinghami","Wetland","C",8.09523322551389,36.283318695423
"limenitis_arthemis","Forest","S",4.33046828949053,23.371381534371
"melanoplus_femurrubrum","Forest","N",5.38747114799189,11.5829718907034
"melanoplus_femurrubrum","Wetland","C",8.17905916926322,18.3898393608715
"melanoplus_femurrubrum","Grassland","N",5.12990175565607,31.5331614521928
"limenitis_arthemis","Wetland","I",8.68949080925994,17.0872313025971
"anax_walsinghami","Grassland","C",6.44556543657205,26.55955885774
"melanoplus_femurrubrum","Forest","N",7.0399942997261,19.9806689240667
"anax_walsinghami","Grassland","I",9.01974452697432,24.5324900507547
"melanoplus_femurrubrum","Wetland","C",7.36539416044303,21.6644924725589
"limenitis_arthemis","Forest","S",6.94475591733186,27.6588506141101
"cicindela_patruela","Forest","C",7.02607186936819,17.4619024177478
"limenitis_arthemis","Forest","N",6.47822718696622,21.7212973987812
"anax_walsinghami","Forest","C",8.48132008880752,21.0358151916544
"limenitis_arthemis","Grassland","S",6.95932055884957,26.1221931456147
"anax_walsinghami","Wetland","N",8.09777647391581,33.6771149314239
"limenitis_arthemis","Grassland","C",9.81933208996844,33.6048331140703
"cicindela_patruela","Wetland","I",3.51640216909586,10.354983233449
"melanoplus_femurrubrum","Grassland","C",9.55200571374649,46.2024002235451
"melanoplus_femurrubrum","Wetland","S",6.94400895321376,26.1528461556531
"cicindela_patruela","Forest","I",6.72330666299922,9.93911788266016
"anax_walsinghami","Forest","C",11.5526323883379,34.3639752693771
"anax_walsinghami","Grassland","N",11.1216320263023,38.4195677776586
"melanoplus_femurrubrum","Grassland","I",6.2643168195214,19.7634918958358
"cicindela_patruela","Forest","I",8.94430818791454,5.14012342448143
"limenitis_arthemis","Wetland","I",4.45602011243368,9.52877850648593
"limenitis_arthemis","Forest","S",8.29766453074868,24.2948503499578
"melanoplus_femurrubrum","Wetland","C",6.50193163026402,21.2726501963025
"limenitis_arthemis","Grassland","N",4.13984663985848,8.45841118438551
"anax_walsinghami","Grassland","I",5.66069421683582,14.517167535098
"anax_walsinghami","Forest","C",9.59550505955263,29.9270817340138
"limenitis_arthemis","Grassland","N",11.6567285995153,46.594642144517
"anax_walsinghami","Grassland","I",9.6633851460494,23.1242528231417
"anax_walsinghami","Forest","C",11.9735038811057,40.5110310901641
"anax_walsinghami","Wetland","I",11.1302579766626,18.8263266742817
"melanoplus_femurrubrum","Forest","C",6.27357382643554,17.0619066668117
"cicindela_patruela","Forest","C",7.67900702069361,21.1562066969839
"anax_walsinghami","Grassland","N",9.85755204382086,37.9052527932435
"melanoplus_femurrubrum","Wetland","C",7.78072734708044,20.316964253459
"limenitis_arthemis","Forest","I",8.58724796941078,19.1183877166726
"limenitis_arthemis","Grassland","S",8.05959250791695,25.7318609171204
"anax_walsinghami","Forest","C",7.71646448458542,16.2196113396668
"cicindela_patruela","Wetland","C",6.6779157239228,21.7106145799372
"melanoplus_femurrubrum","Forest","C",5.91184527223086,20.1023904170246
"anax_walsinghami","Forest","C",10.5666688889195,36.1373075772735
"anax_walsinghami","Wetland","S",8.09967311085003,22.9477807218386
"melanoplus_femurrubrum","Wetland","N",8.27330991938867,23.9238255280938
"anax_walsinghami","Forest","I",9.89470495770867,13.8567480309458
"anax_walsinghami","Grassland","S",8.43511312749151,36.2161807184674
"cicindela_patruela","Grassland","I",6.7962986949676,14.6919836916537
"limenitis_arthemis","Forest","C",7.71826082102935,26.8644649847289
"melanoplus_femurrubrum","Forest","I",6.97494890659083,13.4872470200283
"cicindela_patruela","Forest","S",8.10969798069443,18.2365050127137
"melanoplus_femurrubrum","Wetland","C",10.4664580935874,32.2043730164038
"melanoplus_femurrubrum","Forest","I",6.26201605058103,4.86779581761941
"limenitis_arthemis","Wetland","N",5.50500510943566,20.9287455948653
"anax_walsinghami","Grassland","I",10.2613524082668,25.6084940843078
"cicindela_patruela","Wetland","S",4.81469134547186,10.1024501384546
"anax_walsinghami","Forest","S",8.06588991788877,14.4846021012319
"anax_walsinghami","Forest","N",11.0312612589665,24.9640152394912
"anax_walsinghami","Grassland","C",7.81957955099779,24.4570635237626
"cicindela_patruela","Grassland","S",3.73582511323352,19.1595598400267
"cicindela_patruela","Forest","S",7.14274894426738,18.8742820359834
"limenitis_arthemis","Wetland","C",4.47884385056683,9.35178985162179
"anax_walsinghami","Forest","I",6.43241425832325,14.315718744179
"melanoplus_femurrubrum","Forest","I",3.4747301806482,-0.137352777107397
"melanoplus_femurrubrum","Grassland","C",9.09576986600933,29.8713412857436
"cicindela_patruela","Grassland","N",6.44158270914875,27.1773493072082
"melanoplus_femurrubrum","Wetland","C",8.2943400996323,23.515786093925
"limenitis_arthemis","Forest","C",8.25812905985599,30.1725143603453
"cicindela_patruela","Forest","I",5.98650110597514,14.9657232732851
"cicindela_patruela","Wetland","S",4.58874251000096,8.00930289063546
"melanoplus_femurrubrum","Grassland","N",8.50746414683148,23.4624471449506
"anax_walsinghami","Forest","I",12.5014068872506,19.008743922839
"limenitis_arthemis","Grassland","S",4.59488976609451,20.3472874141706
"anax_walsinghami","Wetland","I",7.7543400356426,18.5325280410253
"limenitis_arthemis","Forest","S",6.21483225085697,24.5827654976001
"melanoplus_femurrubrum","Forest","S",5.35258255057088,21.8788191032313
"anax_walsinghami","Grassland","N",10.7351828278704,44.7312465702348
"melanoplus_femurrubrum","Wetland","S",6.36112039310867,24.5101422182758
"cicindela_patruela","Wetland","C",8.28317758426153,25.0097707029661
"melanoplus_femurrubrum","Forest","S",7.48856359977503,16.2807162062356
"melanoplus_femurrubrum","Wetland","N",8.86422159756704,23.189015559406
"limenitis_arthemis","Forest","S",9.87764889208032,29.7321072582695
"melanoplus_femurrubrum","Wetland","S",7.89639391179837,32.5275846492944
"melanoplus_femurrubrum","Grassland","S",9.67148209267146,41.4786418143717
"melanoplus_femurrubrum","Wetland","I",7.78870403127209,8.50652267005887
"cicindela_patruela","Grassland","N",4.1457413164552,10.0963821365143
"melanoplus_femurrubrum","Grassland","C",7.43055508816214,32.8734388637848
"limenitis_arthemis","Wetland","I",8.00074011287885,12.0489142445788
"limenitis_arthemis","Forest","S",7.55616853710936,13.8225339803712
"cicindela_patruela","Wetland","N",5.79229110424029,20.2174705353599
"melanoplus_femurrubrum","Grassland","I",5.44977938387512,16.8624705332014
"melanoplus_femurrubrum","Wetland","N",8.685019041747,35.9905761291803
"cicindela_patruela","Forest","S",4.81090873713719,15.6913747211969
"limenitis_arthemis","Forest","N",4.88927553125584,18.8215176082385
"melanoplus_femurrubrum","Forest","I",8.5739790916885,15.7412487947983
"limenitis_arthemis","Grassland","N",4.9125705268477,18.6297910276128
"limenitis_arthemis","Wetland","I",7.10707739481119,3.62467277563126
"melanoplus_femurrubrum","Wetland","N",7.39417883212646,26.5072169537529
"anax_walsinghami","Wetland","C",6.47499333663278,21.1738470813557
"anax_walsinghami","Grassland","S",12.1208135497857,48.8361094783736
"melanoplus_femurrubrum","Forest","N",6.37126954409836,14.7933081248772
"limenitis_arthemis","Forest","C",9.02496457572816,17.3895245918111
"limenitis_arthemis","Grassland","N",5.93722338268997,28.2253280847603
"melanoplus_femurrubrum","Grassland","N",6.39960152022437,23.385612097495
"anax_walsinghami","Grassland","I",8.95483396093105,30.6791939969444
"limenitis_arthemis","Forest","S",6.11341630922329,22.8615003396928
"cicindela_patruela","Forest","C",5.53366160194868,20.0766865920029
"anax_walsinghami","Wetland","N",7.24697328771176,29.1106498902672
"melanoplus_femurrubrum","Grassland","C",5.45632626853972,16.4433071750301
"melanoplus_femurrubrum","Wetland","S",8.6134217447051,24.2654325716604
"melanoplus_femurrubrum","Wetland","I",6.04027272839061,14.5271359986972
"limenitis_arthemis","Forest","N",4.73928256910632,20.1237590719628
"melanoplus_femurrubrum","Wetland","S",6.50803797983773,23.1373671491472
"cicindela_patruela","Forest","I",4.95187418580434,5.0681089720879
"limenitis_arthemis","Grassland","C",3.86438897844266,23.7891537897364
"cicindela_patruela","Wetland","I",5.62525180646933,5.94989989782058
"melanoplus_femurrubrum","Grassland","C",7.70441491621205,24.488055988823
"anax_walsinghami","Forest","S",9.71501949114652,40.9128411964419
"limenitis_arthemis","Forest","N",7.3756594586856,24.0597595524694
"melanoplus_femurrubrum","Forest","I",5.75338899573689,12.7422837428311
"anax_walsinghami","Grassland","N",8.31921766733954,33.5063635212496
"melanoplus_femurrubrum","Grassland","C",5.7426041874768,15.396666417215
"anax_walsinghami","Grassland","S",7.69939788840847,26.6506586776669
"anax_walsinghami","Forest","I",6.66946620842493,13.4999535818779
"anax_walsinghami","Wetland","C",6.82699120273814,9.47318947477896
"cicindela_patruela","Grassland","N",7.08139052773705,19.4208785558658
"melanoplus_femurrubrum","Forest","I",6.90240296970746,13.9493579912315
"melanoplus_femurrubrum","Forest","I",6.92605029627588,10.6937074805182
"limenitis_arthemis","Wetland","S",10.30253050309,30.4290285239251
"melanoplus_femurrubrum","Grassland","S",7.28197384961973,29.649912852027
"anax_walsinghami","Wetland","I",7.89108825587485,14.6239624157728
"anax_walsinghami","Forest","N",10.8788623663171,35.3411720926808
"cicindela_patruela","Grassland","C",5.35582921768427,11.0269812068627
"melanoplus_femurrubrum","Wetland","S",10.4147903550021,25.0238498273343
"melanoplus_femurrubrum","Grassland","N",6.72331885492244,15.1440927570297
"cicindela_patruela","Forest","N",5.18599564041131,14.3869815122527
"cicindela_patruela","Wetland","C",4.51754514697804,12.6184980916865
"anax_walsinghami","Forest","N",9.79782174103633,36.7039125540011
"cicindela_patruela","Forest","S",8.72879784836232,22.613084103979
"limenitis_arthemis","Wetland","I",6.11654634014314,16.1370612847318
"melanoplus_femurrubrum","Grassland","I",7.88819162684486,22.1810037513106
"limenitis_arthemis","Wetland","C",7.26691760837968,20.8926781349224
"anax_walsinghami","Forest","S",12.8783590560262,39.1380930147886
"cicindela_patruela","Forest","I",7.1418307437068,8.77806633800227
"cicindela_patruela","Forest","N",4.62550803841799,16.2537219354004
"melanoplus_femurrubrum","Grassland","I",6.20760129439636,9.87931349138943
"limenitis_arthemis","Wetland","I",5.54816579510206,8.04149690704058
"limenitis_arthemis","Grassland","C",6.92676724973199,26.6096220070368
"limenitis_arthemis","Wetland","C",6.67930002123245,22.1560966558867
"cicindela_patruela","Grassland","C",6.63251703389479,23.5371703920194
"anax_walsinghami","Forest","C",7.65733698581902,24.4900170285038
"anax_walsinghami","Forest","N",8.21460224730218,22.8932865239713
"anax_walsinghami","Grassland","I",10.8627555380473,23.4658841394945
"melanoplus_femurrubrum","Wetland","S",7.20732817782451,30.2813126196877
"anax_walsinghami","Grassland","I",7.66318374837535,17.6596274269103
"cicindela_patruela","Grassland","C",7.71210439193548,19.0862870594471
"melanoplus_femurrubrum","Grassland","I",7.41402945709312,12.901256075875
"limenitis_arthemis","Wetland","S",5.31677189880002,12.3778869541845
"cicindela_patruela","Grassland","S",9.27592320359152,26.1825035364554
"anax_walsinghami","Grassland","N",6.7394259623971,20.2607434805583
"anax_walsinghami","Forest","C",5.78194964690738,6.32562960485393
"limenitis_arthemis","Wetland","C",3.80652571715798,17.0036007539952
"anax_walsinghami","Forest","S",10.6204511107848,34.8513353231158
"anax_walsinghami","Grassland","N",7.89943978446235,29.025205133324
"anax_walsinghami","Grassland","C",8.42421385374877,28.338497747227
"limenitis_arthemis","Wetland","S",7.1879552493473,19.0653665365254
"melanoplus_femurrubrum","Wetland","I",6.57568650849911,13.4433563423337
"cicindela_patruela","Forest","I",4.04703678889501,7.35024590498064
"limenitis_arthemis","Grassland","N",4.10643005372456,18.2487940706847
"cicindela_patruela","Forest","N",5.55570329279949,14.9134479506192
"limenitis_arthemis","Wetland","S",6.98441600244509,25.6512843823288
"cicindela_patruela","Forest","C",3.42313093313601,11.7134970552697
"anax_walsinghami","Grassland","I",9.70490201508596,23.3083489795267
"anax_walsinghami","Wetland","C",10.0299597536482,35.5636937135749
"limenitis_arthemis","Grassland","N",9.24131637932859,40.8816411185804
"anax_walsinghami","Forest","I",9.40440789761913,13.9415080098152
"melanoplus_femurrubrum","Grassland","S",7.77752730226483,34.4297108011475
"cicindela_patruela","Forest","I",7.03678160092523,10.1525464314226
"limenitis_arthemis","Grassland","C",6.65397757679958,23.9678245266665
"cicindela_patruela","Wetland","I",5.93027990346948,10.8061148539689
"anax_walsinghami","Wetland","C",9.29053477821597,28.7724234013105
"cicindela_patruela","Grassland","N",7.28664587733948,11.5482320561565
"limenitis_arthemis","Forest","S",6.00250780328392,16.4416068326147
"melanoplus_femurrubrum","Grassland","S",6.52158707039286,23.0759943854586
"cicindela_patruela","Forest","N",4.8729986206961,4.49385624505215
"limenitis_arthemis","Forest","C",5.26226045736522,18.905349441905
"melanoplus_femurrubrum","Wetland","S",8.01808802701302,21.4642780126698
"cicindela_patruela","Wetland","S",8.90704962968897,33.1784479933118
"cicindela_patruela","Forest","N",4.74829263317871,14.1950721542681
"anax_walsinghami","Forest","S",8.60970360581293,22.58034497562
"anax_walsinghami","Forest","N",6.97616758666565,23.2790800700218
"anax_walsinghami","Grassland","N",11.325101235715,42.5282394952942
"cicindela_patruela","Forest","I",5.58818492354884,11.7184194876742
"melanoplus_femurrubrum","Wetland","S",7.72723415238434,22.8518937139018
"anax_walsinghami","Wetland","C",9.84542664075581,22.4003160518808
"cicindela_patruela","Forest","N",4.64796851051918,6.12159216090508
"limenitis_arthemis","Grassland","S",6.51308954399724,19.555633241146
"limenitis_arthemis","Wetland","C",6.31491531593732,22.8130893573055
"cicindela_patruela","Wetland","C",7.16235538031421,19.630413749456
"anax_walsinghami","Grassland","C",6.63055709208586,23.1459399848254
"anax_walsinghami","Wetland","N",6.68595872007075,19.4962302554107
"limenitis_arthemis","Forest","N",8.0967815576277,24.0104286801636
